dataset,batch_id,record_count,json_data_bytes,json_data_kb,json_data_mb
batch_1_5_obs,1,5,1071,1.05,0.001
batch_2_10_obs,2,10,2141,2.09,0.002
batch_3_25_obs,3,25,5349,5.22,0.005
batch_4_50_obs,4,50,10692,10.44,0.01
batch_5_100_obs,5,100,21385,20.88,0.02
batch_6_250_obs,6,250,53459,52.21,0.051
batch_7_500_obs,7,500,106924,104.42,0.102
batch_8_1000_obs,8,1000,213835,208.82,0.204
batch_9_2000_obs,9,2000,427720,417.7,0.408
batch_10_3000_obs,10,3000,641522,626.49,0.612
batch_11_5000_obs,11,5000,1069189,1044.13,1.02
batch_12_7500_obs,12,7500,1603854,1566.26,1.53
batch_13_10000_obs,13,10000,2138394,2088.28,2.039
batch_14_20000_obs,14,20000,4276864,4176.62,4.079
batch_15_30000_obs,15,30000,6415152,6264.8,6.118
batch_16_50000_obs,16,50000,10691719,10441.13,10.196
